id,registration,make,model,primaryColour,fuelType
48352837,BO55RDK,BMW,730,Black,Diesel
48394050,BO55AFV,"LAND ROVER","RANGE ROVER",Black,Diesel
48394475,BO55KSY,VOLKSWAGEN,PASSAT,White,Diesel
48403383,BO55BHT,"LAND ROVER","RANGE ROVER SPORT",Black,Diesel
48404035,BO55EPU,MASERATI,GRANTURISMO,Grey,Petrol
48552991,BO55SCJ,MITSUBISHI,SHOGUN,Red,Diesel
48588258,BO55DCX,"LAND ROVER","RANGE ROVER SPORT",Black,Petrol
48614926,BO55JCU,BMW,530,Grey,Diesel
48616744,BO55UZE,"LAND ROVER",DISCOVERY,Black,Diesel
48633220,BO55STB,AUDI,A1,Black,Diesel
48636101,BO55LAA,VOLKSWAGEN,GOLF,White,Petrol
48636103,BO55CBC,MERCEDES-BENZ,V,Silver,Diesel
48678561,BO55WPB,PORSCHE,"911 TARGA 4 AUTO",Red,Petrol
48718095,BO55NTG,JAGUAR,XJ,Black,Diesel
48743349,BO55JNM,VAUXHALL,INSIGNIA,Black,Diesel
48790470,BO55EBJ,AUDI,Q2,White,Petrol
48822331,BO55GRJ,VOLKSWAGEN,SCIROCCO,Black,Petrol
48848119,BO55GEK,MINI,COOPER,Grey,Petrol
48870573,BO55DCG,FORD,TRANSIT,White,Diesel
48900787,BO55ZBR,MERCEDES-BENZ,A-CLASS,White,Diesel
48914863,BO55AKN,FORD,FIESTA,Silver,Petrol
48934703,BO55VOX,NISSAN,NAVARA,White,Diesel
48938183,BO55CFK,MINI,"MINI (R57)",Red,Diesel
48952862,BO55AKU,MERCEDES-BENZ,GLC,Silver,Diesel
49012469,BO55SWZ,FORD,"TRANSIT CUSTOM 280LIMITD EBLUE",Black,Diesel
49096047,BO55PAP,BMW,M3,White,Petrol
49097504,BO55ELK,BMW,"3 SERIES",Black,Diesel
49287494,BO55DVV,MERCEDES-BENZ,"E 220 AMG LNE NGT ED PRM + D A",Silver,Diesel
49303490,BO55WWE,VOLKSWAGEN,"CARAVELLE EXECUTIVE TDI S-A",Black,Diesel
49306254,BO55URN,PEUGEOT,PARTNER,White,Diesel
49316260,BO55AXT,"LAND ROVER","RANGE ROVER VELAR",Grey,Diesel
49326211,BO55BJF,FORD,"TRANSIT CUSTOM 320LIMITD EBLUE",Black,Diesel
49341925,BO55KZZ,BMW,X5,Black,Diesel
49520300,BO55LHM,JAGUAR,XJ,Black,Diesel
49538631,BO55CKJ,JAGUAR,XF,White,Diesel
49551712,BO55JMR,VOLKSWAGEN,"TRANSPORTER T32 H-LINE TDI S-A",Grey,Diesel
49564563,BO55EPS,FORD,"TRANSIT CONNECT",Grey,Diesel
49581828,BO55AAC,MERCEDES-BENZ,CLS,Silver,Diesel
49584809,BO55KER,AUDI,A3,Black,Petrol
49619201,BO55SAN,TOYOTA,C-HR,White,"Hybrid Electric (Clean)"
49632927,BO55UBH,FORD,MONDEO,Silver,Diesel
49633514,BO55ZNA,VOLKSWAGEN,"POLO MATCH TSI S-A",Grey,Petrol
49644381,BO55AWK,BMW,M3,Grey,Petrol
49645614,BO55HWD,JAGUAR,F-PACE,White,Diesel
49654852,BO55HUX,MINI,COUNTRYMAN,Black,Petrol
49668593,BO55AMC,PORSCHE,BOXSTER,Red,Petrol
49672682,BO55ERJ,VOLKSWAGEN,"TRANSPORTER T32 HIGHLINE TDI",Bronze,Diesel
49677192,BO55VWA,VOLKSWAGEN,AMAROK,Grey,Diesel
